"FILETYPEID","FILETYPENAME","FILETYPESTYLE","FILETYPEEXT","FILEGROUPID","FILETYPEFORMAT"
"1000","FILETYPE_LOWDBE","1",".dbe","101",""
"1001","FILETYPE_HIGHDBE","1",".dbe","100",""
"127","FILETYPE_HIGHAVI","0",".avi","100",""
"128","FILETYPE_HIGHWAV","1",".wav","100",""
"129","FILETYPE_LOWWAV","1",".wav","101",""
"130","FILETYPE_LOWAVI","0",".avi","101",""
"131","FILETYPE_IMXMXF","2",".mxf","102",""
"132","FILETYPE_WMV","2",".wmv","103",""
"133","FILETYPE_LOWMP3","1",".mp3","101",""
"134","FILETYPE_CC","1",".cc","101",""
